	Datacenter	URL	IP v4 addresses	IP v6 range in DB
logo Colocation America Inc	Colocation America Inc	http://www.colocationamerica.com/	143,360  	 
logo HostStore, Inc.	HostStore, Inc.	http://www.hoststore.com/	143,360  	 
logo Wholesale Internet, Inc	Wholesale Internet, Inc	https://www.wholesaleinternet.net/	141,312  	 
logo colo4dallas.com	colo4dallas.com	http://colo4dallas.com/	138,752  	 
logo M247 Ltd	M247 Ltd	https://m247.com/	138,595  	Yes
logo XT Global Networks LTD	XT Global Networks LTD	http://www.xtglobal.vg/	133,816  	 
logo LayerHost.com	LayerHost.com	https://www.layerhost.com/	133,472  	 
logo Transip Bv.	Transip Bv.	https://www.transip.eu/	133,248  	Yes
logo 1000dedi.net	1000dedi.net	http://www.1000dedi.net/	131,072  	 
logo Webair Internet Development Inc	Webair Internet Development Inc	https://www.webair.com/	126,976  	 
logo Optimate Server	Optimate Server	http://optimate-server.de/	122,880  	 
logo Redstation Limited	Redstation Limited	http://redstation.com/	121,535  	Yes
logo Selectel Ltd.	Selectel Ltd.	https://selectel.ru/	121,072  	 
logo Sharktech Inc.	Sharktech Inc.	https://sharktech.net/	120,832  	 
logo The Endurance International Group Inc	The Endurance International Group Inc	http://www.enduranceinternational.com/	116,544  	 
logo Web2Objects GmbH	Web2Objects GmbH	http://web2objects.com/	113,664  	 
logo Steadfast	Steadfast	https://www.steadfast.net/	112,640  	 
logo Stackpath, LLC	Stackpath, LLC		111,920  	 
logo Stackpath, LLC	Stackpath, LLC	https://www.stackpath.com/	111,920  	 
logo kinx.net	kinx.net	https://www.kinx.net/	110,592  	 
logo trueserver.nl	trueserver.nl	http://trueserver.nl/	109,824  	 
logo myLoc	myLoc	https://www.myloc.de/	107,121  	Yes
logo Media Temple	Media Temple	https://mediatemple.net/	106,608  	 
logo LightEdge Solutions, Inc.	LightEdge Solutions, Inc.	https://www.lightedge.com/	106,497  	 
logo cari.net	cari.net	http://cari.net/	106,496  	 
logo iomart Hosting Ltd	iomart Hosting Ltd	http://www.rapidswitch.com/	105,728  	 
