	Datacenter	URL	IP v4 addresses	IP v6 range in DB
logo dinahosting	dinahosting	https://en.dinahosting.com/	18,432  	 
logo Melbicom	Melbicom	https://melbicom.net/	18,432  	Yes
logo nine.ch	nine.ch	http://nine.ch/	18,432  	 
logo Rackvibe.com	Rackvibe.com	http://www.rackvibe.com/	18,432  	 
logo The Bunker	The Bunker	http://www.thebunker.net/	18,432  	 
logo Web Werks	Web Werks	https://www.webwerks.in/	18,430  	 
logo Cloudroute, LLC	Cloudroute, LLC	http://www.cloudroute.com/	18,176  	 
logo HEKKO.PL	HEKKO.PL	https://www.hekko.pl/	18,176  	Yes
logo GleSYS Internet Services AB	GleSYS Internet Services AB	https://glesys.se/	17,920  	 
logo Netrouting	Netrouting	https://www.netrouting.com/	17,920  	 
logo ATM S.A.	ATM S.A.	http://www.atman.pl/	17,824  	Yes
logo PatrikWeb	PatrikWeb	http://patrikweb.net/	17,664  	 
logo ALL-INKL.COM	ALL-INKL.COM	http://all-inkl.com/	17,440  	 
logo ConnectingBytes Gbmh	ConnectingBytes Gbmh	http://www.connectingbytes.de/	17,408  	 
logo PrivateSystems.net	PrivateSystems.net	http://privatesystems.net/	17,408  	 
logo Digital Pacific	Digital Pacific	http://www.digitalpacific.com.au/	16,896  	 
logo Vautron AG	Vautron AG	http://www.vautron.de/	16,896  	 
logo Yghost Inc	Yghost Inc	http://www.yghost.com/	16,896  	Yes
logo Code200, UAB	Code200, UAB	https://www.code200.global/	16,696  	 
logo Wedos Internet, a.s	Wedos Internet, a.s	http://www.wedos.com/	16,672  	Yes
logo DONWEB (Dattatec.com SRL)	DONWEB (Dattatec.com SRL)	http://donweb.com/	16,640  	Yes
logo ihc.ru	ihc.ru	https://www.ihc.ru/	16,640  	 
logo rh-tec Business GmbH	rh-tec Business GmbH	http://rh-tec.de/	16,432  	 
logo Rusonyx Ltd.	Rusonyx Ltd.	https://www.rusonyx.ru/	16,385  	 
logo Snel.com B.V.	Snel.com B.V.	https://www.snel.com/	16,385  	Yes
logo 1blu.de	1blu.de	http://www.1blu.de/	16,384  	 
logo AccelerateBiz Inc.	AccelerateBiz Inc.	http://www.acceleratebiz.com/	16,384  	 
logo AppNexus, Inc	AppNexus, Inc	https://www.appnexus.com/	16,384  	 
logo BurstNET	BurstNET	http://burst.net/	16,384  	 
logo CloudatCost	CloudatCost	https://cloudatcost.com/	16,384  	 
logo Colomx Llc	Colomx Llc	http://colo.mx/	16,384  	 
logo CORE TECHNOLOGIES SERVICES, INC.	CORE TECHNOLOGIES SERVICES, INC.	http://www.coreitx.com/	16,384  	 
logo DedFiberCo	DedFiberCo	http://dedfiber.com/	16,384  	 
logo eUKhost	eUKhost	http://www.eukhost.com/	16,384  	 
logo EZ Web Hosting, Inc.	EZ Web Hosting, Inc.	http://www.ez-web-hosting.com/	16,384  	 
logo Hosting Concepts	Hosting Concepts	http://hosting-concepts.nl/	16,384  	 
logo KLAYER LLC	KLAYER LLC	http://www.klayer.com/	16,384  	 
logo myLoc	myLoc	https://www.myloc.de/	16,384  	Yes
logo Netclusive GmbH	Netclusive GmbH	https://www.netclusive.de/	16,384  	 
logo Premia Networks Corporation	Premia Networks Corporation	http://www.premianet.com/	16,384  	 
logo QTS	QTS	http://www.qtsdatacenters.com/	16,384  	 
logo Roya Hosting	Roya Hosting	http://www.royahosting.com/	16,384  	 
logo Secure Private Network	Secure Private Network	http://www.securedprivatenetwork.net/	16,384  	 
logo ServerBeach Dedicated Servers	ServerBeach Dedicated Servers	http://www.serverbeach.com/	16,384  	 
logo SV COLO	SV COLO	http://www.svcolo.com/	16,384  	Yes
logo Techie Media	Techie Media	http://techiemedia.net/	16,384  	 
logo Virpus Networks	Virpus Networks	http://myvirpus.com/	16,384  	 
logo Volico	Volico	http://www.volico.com/	16,384  	 
logo Webhosting.net	Webhosting.net	http://www.webhosting.net/	16,384  	 
logo Namecheap, Inc.	Namecheap, Inc.	https://www.namecheap.com/	16,345  	 
logo HostKey	HostKey	http://hostkey.com/	15,872  	 
logo Magic Online	Magic Online	https://www.magic.fr/	15,616  	 
logo colo@	colo@	http://www.coloat.com/	15,360  	 
logo Host Virtual, Inc	Host Virtual, Inc	https://www.hostvirtual.com/	15,360  	Yes
logo Vivid-Hosting, LLC	Vivid-Hosting, LLC	http://www.vivid-hosting.net/	15,360  	 
logo ITL Group	ITL Group	https://itldc.com/	15,232  	Yes
logo MSERWIS	MSERWIS	https://www.mserwis.pl/	15,152  	Yes
logo Host-it	Host-it	http://www.host-it.co.uk/	15,104  	 
logo Flexwebhosting BV	Flexwebhosting BV	https://www.flexwebhosting.nl/	14,848  	 
logo Loopia AB	Loopia AB	https://www.loopia.se/	14,848  	Yes
logo A Small Orange, LLC.	A Small Orange, LLC.	https://asmallorange.com/	14,766  	 
logo Vorboss Limited	Vorboss Limited	https://vorboss.com/	14,592  	 
logo Fiber Hub Inc	Fiber Hub Inc	https://www.fiberhub.com/	14,336  	 
logo Titan Internet Ltd	Titan Internet Ltd	http://www.titaninternet.co.uk/index.cfm	14,336  	 
logo Confluence Networks Inc	Confluence Networks Inc	http://confluence-networks.com/	13,864  	 
logo VNET a.s.	VNET a.s.	https://www.vnet.sk/	13,761  	 
logo XMission	XMission	http://xmission.com/	13,568  	 
logo Site5.com LLC	Site5.com LLC	http://www.site5.com/	13,555  	 
logo Venyu Solutions Inc.	Venyu Solutions Inc.	http://venyu.com/	13,320  	 
logo Fastmetrics	Fastmetrics	http://fastmetrics.com/	13,312  	 
logo Future Hosting Inc	Future Hosting Inc	http://vpsdatacenter.com/	13,312  	 
logo HostRocket	HostRocket	http://www.hostrocket.com/	13,312  	 
logo ihnetworks.net	ihnetworks.net	http://ihnetworks.net/	13,312  	 
logo Panq BV	Panq BV	https://www.panq.nl/	13,312  	 
logo Uniserver NL	Uniserver NL	https://www.uniserver.nl/	13,312  	 
logo VPSCheap.NET	VPSCheap.NET	https://www.vpscheap.net/	13,312  	Yes
logo Bradler & Krantz GmbH & Co KG	Bradler & Krantz GmbH & Co KG	https://www.providerdienste.de/	13,096  	 
logo Caronet	Caronet	https://www.caro.net/	13,056  	 
logo Fork Networking, Inc.	Fork Networking, Inc.	http://www.forked.net/	13,056  	Yes
logo Hosthatch Inc.	Hosthatch Inc.	https://hosthatch.com/	12,800  	 
logo nedzone.nl	nedzone.nl	https://www.nedzone.nl/	12,800  	 
logo Slask Data Center PL	Slask Data Center PL	https://sldc.eu/	12,800  	 
logo Servage GmbH	Servage GmbH	http://www.servage.net/	12,608  	 
logo City Network Hosting AB	City Network Hosting AB	https://www.citynetwork.se/	12,560  	 
logo IGNUM, s.r.o.	IGNUM, s.r.o.	https://www.ignum.cz/	12,544  	Yes
logo Xtraordinary Networks Limited	Xtraordinary Networks Limited	http://xtrahost.co.uk/	12,544  	 
logo Coolhousing.net	Coolhousing.net	https://www.coolhousing.net/	12,304  	Yes
logo Centrilogic, Inc	Centrilogic, Inc	http://www.centrilogic.com/	12,296  	 
logo 4rweb.com	4rweb.com	http://4rweb.com/	12,288  	 
logo Acenet	Acenet	http://www.ace-host.net/	12,288  	 
logo ActiveHost	ActiveHost	http://www.activehost.com/	12,288  	 
logo Atjeu Publishing LLC	Atjeu Publishing LLC	http://www.atjeu.com/	12,288  	 
logo Blackboard Inc.	Blackboard Inc.	http://www.blackboard.com/	12,288  	 
logo CAT data center	CAT data center	http://www.idc.cattelecom.com/	12,288  	 
logo China Telecom Americas	China Telecom Americas	https://www.ctamericas.com/	12,288  	 
logo Edgewebhosting	Edgewebhosting	http://www.edgewebhosting.net/	12,288  	 
logo Fevvo, Inc.	Fevvo, Inc.	http://fevvo.com/	12,288  	 
logo Host Depot	Host Depot	http://www.hostdepot.com/	12,288  	 
logo inline.de	inline.de	http://www.inline.de/	12,288  	 
logo prioritycolo.com	prioritycolo.com	http://prioritycolo.com/	12,288  	 
logo redehost.com.br	redehost.com.br	http://www.redehost.com.br/	12,288  	 
logo ServerSpace Limited	ServerSpace Limited	http://www.serverspace.co.uk/	12,288  	Yes
logo Tailor Made Servers	Tailor Made Servers	http://tailoredservers.com/	12,288  	 
logo Tzulo, Inc.	Tzulo, Inc.	http://www.tzulo.com/	12,288  	 
logo Verisign, Inc.	Verisign, Inc.	http://www.verisign.com/	12,288  	 
logo YourColo	YourColo	http://yourcolo.com/	12,288  	 
logo BeGet Ltd	BeGet Ltd	https://beget.com/	12,032  	 
logo Biznes-Host.pl	Biznes-Host.pl	https://biznes-host.pl/	12,032  	 
logo mirohost.net	mirohost.net	http://mirohost.net/	11,776  	 
logo Gigas Hosting S.A.	Gigas Hosting S.A.	https://gigas.com/	11,520  	 
logo Servinus	Servinus	https://serverius.net/	11,520  	Yes
logo ndchost.com	ndchost.com	http://www.ndchost.com/	11,264  	 
logo Netregistry Pty Ltd	Netregistry Pty Ltd	https://www.netregistry.com.au/	11,264  	 
logo TeraGo Networks	TeraGo Networks	http://www.datacenterscanada.com/	11,264  	 
logo VSHosting s.r.o.	VSHosting s.r.o.	https://www.vshosting.cz/	11,264  	Yes
logo YesUp	YesUp	http://www.yesuphost.com/	11,264  	 
logo Zoho Corporation Pvt. Ltd.	Zoho Corporation Pvt. Ltd.	https://www.zohocorp.com/	11,264  	 
logo Qhoster Ltd	Qhoster Ltd	https://www.qhoster.com/	10,840  	 
logo HostGator.com LLC	HostGator.com LLC	http://www.hostgator.com/	10,815  	 
logo Speedbone Gmbh	Speedbone Gmbh	https://www.speedbone.de/	10,769  	 
logo 2dayhost.com	2dayhost.com	http://www.2dayhost.com/	10,752  	 
logo DataNOC	DataNOC	https://www.datanoc.com/	10,752  	 
logo Elvsoft	Elvsoft	http://www.elvsoft.com/	10,752  	 
logo Oktawave Sp. z o.o.	Oktawave Sp. z o.o.	https://www.oktawave.com/	10,752  	 
logo Oxilion BV	Oxilion BV	https://www.oxilion.nl/	10,752  	Yes
logo Redhosting B.V.	Redhosting B.V.	http://redhosting.nl/	10,752  	 
logo Exabytes	Exabytes	https://www.exabytes.com/	10,496  	 
logo US Dedicated, LLC.	US Dedicated, LLC.	https://usdedicated.com/	10,496  	Yes
logo Amanah Tech Inc	Amanah Tech Inc	https://www.amanah.com/	10,376  	Yes
logo 23VNet KFT	23VNet KFT	http://hostit.hu/	10,240  	 
logo Alpha Mega Hosting	Alpha Mega Hosting	http://www.alphamegahosting.com/	10,240  	 
logo Astutium Ltd	Astutium Ltd	http://www.astutium.com/	10,240  	 
logo eukhost.com	eukhost.com	http://eukhost.com/	10,240  	 
logo gorack.net	gorack.net	http://gorack.net/	10,240  	 
logo Greatnet.de GmbH	Greatnet.de GmbH	https://www.greatnet.de/	10,240  	 
logo LiquidNet Ltd	LiquidNet Ltd	https://liquidnetltd.net/	10,240  	 
logo Mxhost	Mxhost	https://www.mxhost.ro/	10,240  	 
logo Serveriai.lt	Serveriai.lt	https://www.serveriai.lt/	10,240  	Yes
logo US Colo	US Colo	http://uscolo.com/	10,240  	 
logo Webalta	Webalta	http://www.wahome.ru/	10,240  	 
logo Datasource Ag	Datasource Ag	http://www.datasource.ch/	9,984  	 
logo Virty.io	Virty.io	https://virty.io/	9,984  	 
logo IS Group B.V.	IS Group B.V.	https://www.is.nl/	9,916  	 
logo Sprint S.A	Sprint S.A	https://www.sprintdatacenter.pl/	9,856  	Yes
logo CloudLix	CloudLix	http://www.duomenucentras.lt/	9,728  	 
logo FirstHeberg	FirstHeberg	https://www.firstheberg.com/	9,728  	 
logo Hosting Ukraine Ltd.	Hosting Ukraine Ltd.	https://www.ukraine.com.ua/	9,728  	 
logo HZ Hosting Ltd	HZ Hosting Ltd	https://www.hostzealot.com/	9,728  	Yes
logo NAV COMMUNICATIONS S.R.L.	NAV COMMUNICATIONS S.R.L.	https://www.nav.ro/	9,728  	 
logo Webzilla, Inc.	Webzilla, Inc.	https://webzilla.com/	9,536  	 
logo FASTVPS Eesti OÜ	FASTVPS Eesti OÜ	https://fastvps.ee/	9,472  	Yes
logo Tsohost	Tsohost	https://www.tsohost.com/	9,344  	Yes
logo SiteHost	SiteHost	https://sitehost.nz/	9,280  	 
logo Blacknight Internet Solutions Ltd	Blacknight Internet Solutions Ltd	https://www.blacknight.com/	9,216  	 
logo Connectria	Connectria	http://www.connectria.com/	9,216  	 
logo eHostingUSA	eHostingUSA	http://ehostingusa.com/	9,216  	 
logo H4Y Technologies LLC	H4Y Technologies LLC	https://www.h4y.us/	9,216  	 
logo hoster.by	hoster.by	https://hoster.by/	9,216  	 
logo infiumhost.com	infiumhost.com	http://infiumhost.com/	9,216  	 
logo IQ PL Sp. z o.o.	IQ PL Sp. z o.o.	https://www.iq.pl/	9,216  	 
logo Neospire	Neospire	http://www.neospire.net/	9,216  	 
logo Opus Interactive	Opus Interactive	http://www.opusinteractive.com/	9,216  	 
logo Server Axis	Server Axis	http://www.serveraxis.com/	9,216  	 
logo Telegram Messenger LLP	Telegram Messenger LLP	https://telegram.org/	9,216  	 
logo ViaWest	ViaWest	https://www.viawest.com/	9,079  	Yes
logo Forcepoint	Forcepoint	https://www.forcepoint.com/	8,960  	 
logo Criticalcase S.r.l	Criticalcase S.r.l	https://www.criticalcase.com/	8,882  	 
logo 4D Data Centres Ltd.	4D Data Centres Ltd.	https://www.4d-dc.com/	8,819  	 
logo LWS	LWS	https://www.lws.fr/	8,720  	 
logo H88 S.A.	H88 S.A.	https://www.h88.pl/	8,704  	 
logo hostex.lt	hostex.lt	http://hostex.lt/	8,704  	Yes
logo HostUS Solutions LLC	HostUS Solutions LLC	https://hostus.us/	8,704  	Yes
logo Solido Hosting A/S	Solido Hosting A/S	http://solidohosting.com/	8,704  	 
logo webexxpurts.com	webexxpurts.com	http://webexxpurts.com/	8,704  	 
logo Hosting Services Inc.	Hosting Services Inc.	https://www.100tb.com/	8,574  	Yes
logo 3NT Solutions LLP	3NT Solutions LLP	http://3nt.com/	8,448  	 
logo AiNET	AiNET	http://www.ai.net/	8,448  	 
logo CH-Center	CH-Center	https://www.ch-center.com/	8,448  	 
logo Memset Ltd	Memset Ltd	http://www.memset.com/	8,448  	 
logo NetNation	NetNation	http://www.netnation.com/	8,448  	 
logo One.com	One.com	http://www.one.com/	8,448  	Yes
logo One.com	One.com	https://www.one.com/	8,448  	Yes
logo Root Level Technology	Root Level Technology	https://rootleveltech.com/	8,391  	 
logo Cloudwatt	Cloudwatt	https://www.cloudwatt.com/	8,328  	 
logo 1-800-Hosting	1-800-Hosting	http://www.800hosting.com/	8,192  	 
logo amerinoc	amerinoc	https://www.amerinoc.com/	8,192  	 
logo BraveWay, LLC	BraveWay, LLC	https://www.braveway.com/	8,192  	 
logo Brinkster Communications Corp.	Brinkster Communications Corp.	http://www.brinkster.com/	8,192  	 
logo Canada Web Hosting	Canada Web Hosting	http://www.canadawebhosting.com/	8,192  	 
logo Colocity Pty Ltd	Colocity Pty Ltd	http://www.colocity.com/	8,192  	Yes
logo Contegix Llc.	Contegix Llc.	http://www.contegix.com/	8,192  	Yes
logo D-hosting Germany	D-hosting Germany	http://www.d-hosting.de/	8,192  	 
logo DataCenter Finland Oy	DataCenter Finland Oy	https://www.datacenter.fi/	8,192  	 
logo Datacenter Luxembourg	Datacenter Luxembourg	http://www.dclux.com/	8,192  	 
logo DATASIX GmbH	DATASIX GmbH	http://www.datasix.at/	8,192  	Yes
logo DepoDataCenter	DepoDataCenter	http://www.depo40.ru/	8,192  	 
logo DirectSpace Networks	DirectSpace Networks	http://www.directspace.net/	8,192  	 
logo Duocast	Duocast	https://duocast.nl/	8,192  	Yes
logo EarthLink Cloud	EarthLink Cloud	http://www.earthlinkcloud.com/	8,192  	 
logo EBOUNDHOST.com ADF	EBOUNDHOST.com ADF	http://eboundhost.com/	8,192  	 
logo EuroVPS	EuroVPS	http://eurovps.com/	8,192  	 
logo Fiber Server	Fiber Server	https://www.fiberserver.net.tr/	8,192  	 
logo Firstbyte	Firstbyte	https://firstbyte.ru/	8,192  	Yes
logo Hatteland	Hatteland	http://hatteland.com/	8,192  	 
logo Hosting UK	Hosting UK	http://hostinguk.net/	8,192  	 
logo HostVentures	HostVentures	http://www.hostventures.com/	8,192  	 
logo HyperVPN	HyperVPN	http://www.hypervpn.com/	8,192  	 
logo Indiana Data Center LLC	Indiana Data Center LLC	http://inddc.com/	8,192  	 
logo Internet Vikings AB	Internet Vikings AB	https://internetvikings.com/	8,192  	 
logo Markum.net	Markum.net	https://www.markum.net/	8,192  	 
logo MyHost.KG	MyHost.KG	https://www.myhost.kg/	8,192  	 
logo Net Data Centers, Inc.	Net Data Centers, Inc.	http://www.netdatacenters.com/	8,192  	 
logo NetEx Online Services	NetEx Online Services	http://www.netfeed.com/	8,192  	 
logo Netfronts, Inc.	Netfronts, Inc.	http://www.netfronts.com/	8,192  	 
logo Netplus Communication	Netplus Communication	http://www.netplus.fr/	8,192  	 
logo OppoBox LLC	OppoBox LLC	https://www.oppobox.com/	8,192  	 
logo pce-net	pce-net	http://www.pce.de/	8,192  	 
logo prq.se	prq.se	http://prq.se/	8,192  	 
logo Red Hat, Inc.	Red Hat, Inc.	https://www.redhat.com/	8,192  	 
logo Siteserver	Siteserver	http://siteserver.net/	8,192  	 
logo Thrust VPS	Thrust VPS	http://www.thrustvps.com/about/why-thrust/	8,192  	 
logo Velocity Servers	Velocity Servers	http://www.velocity-servers.net/	8,192  	 
logo WEB LLC	WEB LLC	http://www.web.am/	8,192  	 
logo WebControl GmbH	WebControl GmbH	http://www.webcontrol.de/en/	8,192  	 
logo Xiolink	Xiolink	http://xiolink.com/	8,192  	 
logo YesHost.Ru	YesHost.Ru	http://yeshost.ru/	8,192  	 
logo Velocity Servers Inc	Velocity Servers Inc	https://www.hudsonvalleyhost.com/	8,008  	 
logo PROMETEUS	PROMETEUS	http://www.prometeus.net/	7,744  	 
logo Gossamer Threads Inc.	Gossamer Threads Inc.	http://www.gossamer-threads.com/	7,680  	Yes
logo Qualityhosting Ag	Qualityhosting Ag	https://www.qualityhosting.de/	7,680  	 
logo Shock Hosting LLC.	Shock Hosting LLC.	https://shockhosting.net/	7,680  	 
logo Twitter Inc.	Twitter Inc.	https://twitter.com/	7,680  	 
logo Net Style Development Ltd	Net Style Development Ltd	http://netstyleservers.com/	7,552  	 
logo Nodisto It, LLC	Nodisto It, LLC	https://nodisto.com/	7,552  	 
logo iDeal Hosting Ltd.	iDeal Hosting Ltd.	https://www.idealhosting.net.tr/	7,474  	 
logo INOVENTICA	INOVENTICA	https://inoventica.ru/	7,424  	 
logo Maxihost LTDA	Maxihost LTDA	https://www.maxihost.com.br/	7,424  	 
logo TheHost	TheHost	https://thehost.ua/	7,424  	 
logo BODHost	BODHost	http://bodhost.com/	7,168  	 
logo Cloud Builders, S.A.	Cloud Builders, S.A.	https://www.interdominios.com/	7,168  	 
logo Database By Design, LLC	Database By Design, LLC	http://www.databasebydesignllc.com/	7,168  	 
logo HugeServer	HugeServer	https://www.hugeserver.com/	7,168  	 
logo Kharkov Server Ltd	Kharkov Server Ltd	https://xserver.ua/	7,168  	 
logo MadeIT Inc	MadeIT Inc	http://madeit.com/	7,168  	 
logo Majordomo Llc	Majordomo Llc	https://www.majordomo.ru/	7,168  	 
logo Serverplan srl	Serverplan srl	https://www.serverplan.com/	7,168  	 
logo Alfahosting	Alfahosting	http://alfahosting.de/	6,912  	 
logo hosteam.pl	hosteam.pl	http://hosteam.pl/	6,912  	 
logo argeweb	argeweb	http://www.argeweb.nl/	6,656  	 
logo Astute Hosting Inc.	Astute Hosting Inc.	http://astutehosting.com/	6,656  	 
logo BSB Service GmbH	BSB Service GmbH	http://www.synserver.de/	6,656  	 
logo Cherry Servers	Cherry Servers	https://www.cherryservers.com/	6,656  	 
logo eserver.ru	eserver.ru	http://www.eserver.ru/	6,656  	 
logo Heymman Servers	Heymman Servers	https://www.heymman.com/	6,656  	 
logo Nucleus bvba	Nucleus bvba	https://www.nucleus.be/	6,656  	 
logo Global Layer B.V.	Global Layer B.V.	http://www.global-layer.com/	6,599  	 
logo justhost.in.ua	justhost.in.ua	http://www.justhost.in.ua/	6,400  	 
logo One Asia Host LLP	One Asia Host LLP	https://www.oneasiahost.com/	6,400  	Yes
logo Yourserver Sweden	Yourserver Sweden	https://www.yourserver.se/	6,399  	Yes
logo register.it	register.it	https://www.register.it/	6,288  	 
logo CloudSigma Holding AG	CloudSigma Holding AG	https://www.cloudsigma.com/	6,272  	 
logo Fornex Hosting S.l	Fornex Hosting S.l	https://fornex.com/	6,272  	 
logo anyNode	anyNode	https://anynode.net/	6,144  	 
logo DiaHosting	DiaHosting	https://www.diahosting.com/en/	6,144  	 
logo Excellent Hosting Sweden AB	Excellent Hosting Sweden AB	http://www.excellent-hosting.se/	6,144  	 
logo FSdata	FSdata	http://fsdata.se/	6,144  	 
logo Global-e Datacenter B.V.	Global-e Datacenter B.V.	http://www.global-datacenter.nl	6,144  	 
logo Internet Archive	Internet Archive	http://www.archive.org/	6,144  	 
logo LionLink Networks	LionLink Networks	https://www.lionlink.net/	6,144  	 
logo natro.com	natro.com	https://www.natro.com/	6,144  	 
logo PlanetaHost	PlanetaHost	https://planetahost.ru/	6,144  	 
logo qweb	qweb	http://www.qweb.nl/	6,144  	 
logo Solar Communications Gmbh	Solar Communications Gmbh	https://solarcom.ch/	6,144  	 
logo Superdata	Superdata	http://superdata.vn/	6,144  	 
logo TekTonic	TekTonic	http://www.tektonic.net/	6,144  	 
logo Trader Soft Llc	Trader Soft Llc	https://simplecloud.ru/	6,144  	 
logo XSServer GmbH	XSServer GmbH	https://xsserver.eu/	6,144  	 
logo DataClub	DataClub	https://www.dataclub.eu/	6,014  	Yes
logo Hispaweb Network	Hispaweb Network	http://hispaweb.net/	5,952  	 
logo Esnet	Esnet	https://www.vpsnet.com/	5,888  	Yes
logo IP ServerOne	IP ServerOne	http://ipserverone.com/	5,888  	 
logo SeFlow s.n.c	SeFlow s.n.c	http://www.seflow.net/	5,888  	 
logo Szervernet	Szervernet	http://szervernet.hu/	5,888  	 
logo AbeloHost B.V.	AbeloHost B.V.	https://abelohost.com/	5,632  	 
logo UDomain	UDomain	https://www.udomain.hk/	5,632  	 
logo vital_teknoloji	vital_teknoloji	https://www.cloud.com.tr/	5,632  	 
logo Xirra GmbH	Xirra GmbH	http://www.xirra.net/	5,424  	 
logo simpliq.com	simpliq.com	http://www.simpliq.com/	5,376  	 
logo SinaroHost LTD	SinaroHost LTD	https://sinaro.host/	5,376  	 
logo AllHostShop.com	AllHostShop.com	http://www.allhostshop.com/	5,120  	 
logo AlniTech	AlniTech	https://alnitech.com/	5,120  	 
logo Bhost Inc.	Bhost Inc.	https://www.bhost.net/	5,120  	 
logo Contel Ooo	Contel Ooo	http://www.contell.ru/	5,120  	 
logo Dc74, Llc	Dc74, Llc	http://www.dc74.com/	5,120  	Yes
logo DFW Hosting Services	DFW Hosting Services	http://dfwhostingservices.com/	5,120  	 
logo DigiCube	DigiCube	http://digicube.fr/	5,120  	 
logo DigitalFyre Internet Solutions LLC.	DigitalFyre Internet Solutions LLC.	https://www.digitalfyre.com/	5,120  	 
logo Fluccs	Fluccs	https://www.fluccs.com.au/	5,120  	 
logo Github, Inc	Github, Inc	https://github.com/about	5,120  	 
logo Immedion	Immedion	http://immedion.com/	5,120  	 
logo ipglobe.net	ipglobe.net	https://www.ipglobe.net/	5,120  	 
logo Kakao Corporation	Kakao Corporation	http://www.kakaocorp.com/	5,120  	 
logo King Servers B.V.	King Servers B.V.	https://www.king-servers.com/	5,120  	Yes
logo Leapswitch Networks Pvt. Ltd.	Leapswitch Networks Pvt. Ltd.	https://leapswitch.com/	5,120  	 
logo NetAngels	NetAngels	https://www.netangels.ru/	5,120  	 
logo Obone Gmbh	Obone Gmbh	http://www.obone.de/	5,120  	 
logo Plutex	Plutex	http://www.plutex.de/	5,120  	 
logo rijndata.nl	rijndata.nl	http://rijndata.nl/	5,120  	 
logo ServerStack Inc	ServerStack Inc	https://www.serverstack.com/	5,120  	 
logo Triple8 Network	Triple8 Network	http://888.net/	5,120  	 
logo Uber Global Pty Ltd	Uber Global Pty Ltd	https://www.uber.com.au/	5,120  	Yes
logo Web Hosting UK	Web Hosting UK	http://www.webhosting.uk.com/	5,120  	 
logo Web Werks	Web Werks	http://www.web-werks.com/	5,120  	 
logo Goscomb Technologies Ltd	Goscomb Technologies Ltd	http://www.goscomb.net/	4,928  	Yes
logo DirectVPS	DirectVPS	https://www.directvps.nl/	4,864  	Yes
logo evanzo e-commerce GmbH	evanzo e-commerce GmbH	https://www.evanzo.de/	4,864  	 
logo Lancom Ltd	Lancom Ltd	http://www.lancom.gr/	4,864  	 
logo ReadySpace	ReadySpace	https://readyspace.com.hk/	4,864  	 
logo Veesp	Veesp	https://veesp.com/	4,862  	 
logo AlmourolTec, Lda	AlmourolTec, Lda	https://ptisp.pt/	4,800  	Yes
logo DataLine Ltd.	DataLine Ltd.	https://www.dtln.ru/	4,796  	Yes
logo Zone Media OÜ	Zone Media OÜ	https://www.zone.ee/	4,700  	Yes
logo SuperHosting.BG Ltd.	SuperHosting.BG Ltd.	https://www.superhosting.bg/	4,672  	 
logo Prgmr.com, Inc	Prgmr.com, Inc	https://prgmr.com/	4,640  	 
logo Cloudi NextGen S.L.	Cloudi NextGen S.L.	https://clouding.io/	4,608  	 
logo raKdigital	raKdigital	http://www.rakdigital.co.uk/	4,608  	 
logo SpaceWeb LLC	SpaceWeb LLC	https://sweb.ru/	4,608  	Yes
logo Supernova s.r.l.	Supernova s.r.l.	https://www.netsons.com/	4,608  	 
logo Lightstorm Communications s.r.o.	Lightstorm Communications s.r.o.	http://www.lightstorm.sk/	4,432  	 
logo OneProvider	OneProvider	https://oneprovider.com/	4,400  	 
logo ASNETID	ASNETID	http://as.net.id/	4,352  	 
logo BlackMesh	BlackMesh	http://www.blackmesh.com/	4,352  	 
logo Friend Hosting	Friend Hosting	https://friendhosting.net/	4,352  	 
logo Greenhost B.V.	Greenhost B.V.	https://greenhost.net/	4,352  	 
logo Intergrid Group Pty Ltd	Intergrid Group Pty Ltd	https://intergrid.com.au/	4,352  	 
logo MGNHost.ru	MGNHost.ru	https://www.mgnhost.ru/	4,352  	 
logo superhost.pl	superhost.pl	http://superhost.pl/	4,352  	 
logo Ecatel	Ecatel	http://ecatel.net/	4,342  	 
logo Wisconsin CyberLynk Network, Inc.	Wisconsin CyberLynk Network, Inc.	https://www.cyberlynk.net/	4,288  	 
logo Power Up Hosting, Inc.	Power Up Hosting, Inc.	https://poweruphosting.com/	4,248  	 
logo webhoster.de	webhoster.de	http://webhoster.de/	4,224  	 
logo Hostpoint AG	Hostpoint AG	https://www.hostpoint.ch/	4,104  	Yes
logo H1 Host	H1 Host	https://www.h1host.ru/	4,097  	 
logo 180Servers	180Servers	http://www.180servers.com/	4,096  	 
logo 34Sp.com Ltd.	34Sp.com Ltd.	https://www.34sp.com/	4,096  	 
logo ActiveCloud	ActiveCloud	https://www.active.by/	4,096  	 
logo Agava Jsc	Agava Jsc	http://agava.ru/	4,096  	 
logo Airnet	Airnet	http://smartechcorp.net/	4,096  	 
logo APYL Inc.	APYL Inc.	http://www.apyl.com/	4,096  	 
logo Arvixe	Arvixe	http://www.arvixe.com/	4,096  	 
logo BSO Network Inc.	BSO Network Inc.	https://www.bsonetwork.com/	4,096  	 
logo Certified Hosting, LLC	Certified Hosting, LLC	https://certifiedhosting.com/	4,096  	 
logo Cirrus Tech Ltd	Cirrus Tech Ltd	http://www.cirrushosting.com/	4,096  	 
logo CLOUD-52 (KW Datacenter)	CLOUD-52 (KW Datacenter)	http://www.kwdatacentre.com/	4,096  	 
logo comvive.com	comvive.com	https://www.comvive.es/	4,096  	 
logo Conetix	Conetix	http://conetix.com.au/	4,096  	 
